| Entity                                                                                     |   Number of occurrences |
| Dbp5                                                                                       |                      43 |
| NMD                                                                                        |                      43 |
| Nucleocytoplasmic Transport Proteins/chemistry/*metabolism                                 |                      43 |
| 0 (Zbtb7a protein, mouse)                                                                  |                      43 |
| Magnetics                                                                                  |                      43 |
| 0 (Hydroxamic Acids)                                                                       |                      43 |
| P4448TJR7J (Alcian Blue)                                                                   |                      43 |
| 3X2S926L3Z (trichostatin A)                                                                |                      43 |
| Histone Deacetylases/*metabolism                                                           |                      43 |
| Hydroxamic Acids/pharmacology                                                              |                      43 |
| Cartilage/*metabolism                                                                      |                      43 |
| Chromatin Immunoprecipitation                                                              |                      43 |
| Chromatin/metabolism                                                                       |                      43 |
| Chondrosarcoma/embryology/metabolism                                                       |                      43 |
| Mice, Inbred C3H                                                                           |                      43 |
| Transcription Factors/*biosynthesis/*genetics                                              |                      43 |
| DNA-Binding Proteins/*biosynthesis/*genetics                                               |                      43 |
| Alcian Blue/pharmacology                                                                   |                      43 |
| Gene Silencing                                                                             |                      43 |
| Codon, Terminator/genetics                                                                 |                      42 |
| DEAD-box RNA Helicases/*genetics/*metabolism                                               |                      42 |
| 0 (Vitamin D-Binding Protein)                                                              |                      42 |
| 0 (SYNCRIP protein, human)                                                                 |                      41 |
| rac1 GTP-Binding Protein/genetics                                                          |                      41 |
| 0 (SOXD Transcription Factors)                                                             |                      41 |
| EC 3.1.3.16 (Protein Phosphatase 2C)                                                       |                      41 |
| EC 3.6.5.2 (rac1 GTP-Binding Protein)                                                      |                      41 |
| 0 (SMAD6 protein, human)                                                                   |                      41 |
| 0 (Disks Large Homolog 4 Protein)                                                          |                      41 |
| Protein Kinases/genetics                                                                   |                      41 |
| Disks Large Homolog 4 Protein                                                              |                      41 |
| 0 (Smad6 Protein)                                                                          |                      41 |
| EC 3.1.3.16 (PPM1D protein, human)                                                         |                      41 |
| Smad6 Protein/genetics                                                                     |                      41 |
| Ubiquitin-Protein Ligases/genetics                                                         |                      41 |
| Transcription Factors/genetics                                                             |                      41 |
| EC 2.7.1.- (protein kinase U)                                                              |                      41 |
| 0 (DLG4 protein, human)                                                                    |                      41 |
| 0 (SOX5 protein, human)                                                                    |                      41 |
| 0 (RAC1 protein, human)                                                                    |                      41 |
| 0 (TCF20 protein, human)                                                                   |                      41 |
| Heterogeneous-Nuclear Ribonucleoproteins/genetics                                          |                      41 |
| SOXD Transcription Factors/genetics                                                        |                      41 |
| EC 2.3.2.27 (Ubiquitin-Protein Ligases)                                                    |                      41 |
| EC 2.3.2.26 (TRIP12 protein, human)                                                        |                      41 |
| Protein Phosphatase 2C/genetics                                                            |                      41 |
| 0 (Eukaryotic Initiation Factor-3)                                                         |                      41 |
| Nuclear Pore Complex Proteins/genetics/metabolism                                          |                      41 |
| Tumor Cells, Cultured                                                                      |                      41 |
| Hybrid Cells                                                                               |                      41 |
| *Biological Transport                                                                      |                      40 |
| *inflammasome                                                                              |                      40 |
| * Francisella tularensis                                                                   |                      40 |
| Inflammasomes/immunology/metabolism                                                        |                      40 |
| *host-pathogen interactions                                                                |                      40 |
| NI40JAQ945 (Tetradecanoylphorbol Acetate)                                                  |                      40 |
| Golgi Apparatus/*immunology/metabolism/microbiology                                        |                      40 |
| Autophagy/drug effects/*genetics                                                           |                      40 |
| 0 (Inflammasomes)                                                                          |                      40 |
| 0 (GBF1 protein, human)                                                                    |                      40 |
| Minor Histocompatibility Antigens/*genetics/immunology                                     |                      40 |
| Host-Pathogen Interactions/*genetics/immunology                                            |                      40 |
| Pyridines/pharmacology                                                                     |                      40 |
| Cell Death                                                                                 |                      40 |
| 0 (Pyridines)                                                                              |                      40 |
| Macrophages/*immunology/metabolism/microbiology                                            |                      40 |
| Interferon Regulatory Factor-3/genetics/immunology                                         |                      40 |
| Tetradecanoylphorbol Acetate/pharmacology                                                  |                      40 |
| 0 (Quinolines)                                                                             |                      40 |
| Gene Expression Profiling                                                                  |                      40 |
| 0 (IRF3 protein, human)                                                                    |                      40 |
| *interferon response                                                                       |                      40 |
| THP-1 Cells                                                                                |                      40 |
| Quinolines/pharmacology                                                                    |                      40 |
| Guanine Nucleotide Exchange Factors/antagonists & inhibitors/*genetics/immunology          |                      40 |
| 0 (Interferon Regulatory Factor-3)                                                         |                      40 |
| 0 (golgicide A)                                                                            |                      40 |
| DNA-Binding Proteins/antagonists & inhibitors/*genetics/immunology                         |                      40 |
| Francisella tularensis/genetics/immunology/*pathogenicity                                  |                      40 |
| Cell Differentiation/drug effects                                                          |                      40 |
| 0 (Guanine Nucleotide Exchange Factors)                                                    |                      40 |
| Repetitive Sequences, Nucleic Acid                                                         |                      40 |
| Polymers/*chemistry                                                                        |                      40 |
| 0 (Polymers)                                                                               |                      40 |
| *Promoter Regions, Genetic                                                                 |                      40 |
| 0 (NXF1 protein, human)                                                                    |                      40 |
| High Mobility Group Proteins/*metabolism                                                   |                      40 |
| *Zebrafish Proteins                                                                        |                      40 |
| Receptors, Cell Surface/metabolism                                                         |                      40 |
| Wnt Proteins                                                                               |                      40 |
| Neurons/metabolism                                                                         |                      40 |
| *Caenorhabditis elegans Proteins                                                           |                      40 |
| Animals, Genetically Modified/metabolism                                                   |                      40 |
| 0 (LIN-17 protein, C elegans)                                                              |                      40 |
| 0 (pop-1 protein, C elegans)                                                               |                      40 |
| 0 (High Mobility Group Proteins)                                                           |                      40 |
| 0 (Wnt Proteins)                                                                           |                      40 |
| Models, Genetic                                                                            |                      40 |
| 0 (Caenorhabditis elegans Proteins)                                                        |                      40 |
| 0 (Receptors, G-Protein-Coupled)                                                           |                      40 |
| Caenorhabditis elegans/cytology/*genetics/growth & development/metabolism                  |                      40 |
| Proto-Oncogene Proteins/*metabolism                                                        |                      40 |
| *Receptors, G-Protein-Coupled                                                              |                      40 |
| Cell Lineage                                                                               |                      40 |
| 0 (Mucins)                                                                                 |                      40 |
| DNA, Complementary/chemistry/genetics                                                      |                      40 |
| Protein Biosynthesis/*genetics                                                             |                      40 |
| Intracellular Signaling Peptides and Proteins                                              |                      40 |
| 0 (DIP2A protein, human)                                                                   |                      40 |
| Codon, Initiator/*genetics                                                                 |                      40 |
| 0 (Peptides)                                                                               |                      40 |
| Trefoil Factor-3                                                                           |                      40 |
| 0 (Trefoil Factor-3)                                                                       |                      40 |
| 5' Untranslated Regions/genetics                                                           |                      40 |
| 0 (TFF3 protein, human)                                                                    |                      40 |
| Reproducibility of Results                                                                 |                      40 |
| Mucins/genetics                                                                            |                      40 |
| Sequence Analysis, DNA/methods/standards                                                   |                      40 |
| 0 (5' Untranslated Regions)                                                                |                      40 |
| 0 (URB1 protein, human)                                                                    |                      40 |
| Peptides                                                                                   |                      40 |
| 0 (Codon, Initiator)                                                                       |                      40 |
| Point Mutation                                                                             |                      39 |
| Polypyrimidine Tract-Binding Protein/*genetics/metabolism                                  |                      39 |
| Heterografts                                                                               |                      39 |
| Brain Neoplasms/*genetics/metabolism/mortality/pathology                                   |                      39 |
| Survival Analysis                                                                          |                      39 |
| RNA Splicing Factors/*genetics/metabolism                                                  |                      39 |
| Spheroids, Cellular/metabolism/pathology                                                   |                      39 |
| Neurons/metabolism/pathology                                                               |                      39 |
| Heterogeneous-Nuclear Ribonucleoprotein Group A-B/genetics/metabolism                      |                      39 |
| Glioblastoma/*genetics/metabolism/mortality/pathology                                      |                      39 |
| Neuroglia/metabolism/pathology                                                             |                      39 |
| Nerve Tissue Proteins/*genetics/metabolism                                                 |                      39 |
| 0 (RBFOX2 protein, human)                                                                  |                      39 |
| Repressor Proteins/*genetics/metabolism                                                    |                      39 |
| DNA-Binding Proteins/antagonists & inhibitors/*genetics/metabolism                         |                      39 |
| 0 (Heterogeneous-Nuclear Ribonucleoprotein Group A-B)                                      |                      39 |
| 0 (PTBP2 protein, human)                                                                   |                      39 |
| 0 (PTBP1 protein, human)                                                                   |                      39 |
| Heterogeneous-Nuclear Ribonucleoproteins/*genetics/metabolism                              |                      39 |
| 139076-35-0 (Polypyrimidine Tract-Binding Protein)                                         |                      39 |
| 0 (Ribonucleoproteins, Small Nuclear)                                                      |                      39 |
| 0 (PRPF6 protein, human)                                                                   |                      39 |
| Microscopy, Electron, Transmission                                                         |                      39 |
| Transcription Factors/metabolism                                                           |                      39 |
| Gene Knockdown Techniques                                                                  |                      39 |
| 0 (SF3B1 protein, human)                                                                   |                      39 |
| 0 (PRPF31 protein, human)                                                                  |                      39 |
| Cell Proliferation/genetics                                                                |                      39 |
| 0 (USH1G protein, human)                                                                   |                      39 |
| Ribonucleoprotein, U4-U6 Small Nuclear/metabolism                                          |                      39 |
| RNA Splicing Factors/metabolism                                                            |                      39 |
| Phosphoproteins/metabolism                                                                 |                      39 |
| Mass Spectrometry                                                                          |                      39 |
| Usher Syndromes/genetics/*metabolism                                                       |                      39 |
| Coiled Bodies/metabolism                                                                   |                      39 |
| RNA Precursors/genetics/*metabolism                                                        |                      39 |
| RNA, Small Nuclear/genetics/metabolism                                                     |                      39 |
| 0 (Ribonucleoprotein, U4-U6 Small Nuclear)                                                 |                      39 |
| 0 (Phosphoproteins)                                                                        |                      39 |
| Proteomics                                                                                 |                      39 |
| 0 (Eye Proteins)                                                                           |                      39 |
| Spliceosomes/genetics/*metabolism                                                          |                      39 |
| Alternative Splicing/*genetics                                                             |                      39 |
| 0 (RNA, Small Nuclear)                                                                     |                      39 |
| Nerve Tissue Proteins/genetics/*metabolism                                                 |                      39 |
| Eye Proteins/metabolism                                                                    |                      39 |
| Ribonucleoproteins, Small Nuclear/genetics/*metabolism                                     |                      39 |
| Fluorescent Antibody Technique                                                             |                      39 |
| *Transcriptional Activation                                                                |                      39 |
| Chromosomes/metabolism                                                                     |                      39 |
| Galactose/pharmacology                                                                     |                      39 |
| 0 (Salivary Proteins and Peptides)                                                         |                      39 |
| Insect Proteins/genetics/*metabolism                                                       |                      39 |
| Salivary Proteins and Peptides/genetics/*metabolism                                        |                      39 |
| Hot Temperature                                                                            |                      39 |
| X2RN3Q8DNE (Galactose)                                                                     |                      39 |
| Transcription, Genetic/drug effects                                                        |                      39 |
| Stress, Physiological/metabolism                                                           |                      39 |
| Gene Expression Regulation, Developmental/drug effects                                     |                      39 |
| Chironomidae/genetics/growth & development/*metabolism                                     |                      39 |
| Larva                                                                                      |                      39 |
| 0 (Insect Proteins)                                                                        |                      39 |
| Salivary Glands/drug effects/metabolism                                                    |                      39 |
| Apoptosis/genetics                                                                         |                      39 |
| Genomic Instability                                                                        |                      39 |
| Electrophoretic Mobility Shift Assay                                                       |                      39 |
| 0 (alpha-Fetoproteins)                                                                     |                      39 |
| Nuclear Pore Complex Proteins/chemistry                                                    |                      39 |
| Cryoelectron Microscopy                                                                    |                      39 |
| EC 2.7.1.- (IPK1 protein, S cerevisiae)                                                    |                      39 |
| EC 2.7.1.68 (MSS4 protein, S cerevisiae)                                                   |                      39 |
| Carrier Proteins/*physiology                                                               |                      39 |
| EC 2.7.- (Phosphotransferases)                                                             |                      39 |
| Cell Membrane/metabolism                                                                   |                      39 |
| Phosphotransferases (Alcohol Group Acceptor)/metabolism                                    |                      39 |
| Green Fluorescent Proteins/chemistry/metabolism                                            |                      39 |
| Chromatography, High Pressure Liquid                                                       |                      39 |
| Phosphotransferases/metabolism                                                             |                      39 |
| EC 2.7.1.- (ARG82 protein, S cerevisiae)                                                   |                      39 |
| Saccharomyces cerevisiae Proteins/metabolism/*physiology                                   |                      39 |
| RNA Polymerase II/metabolism                                                               |                      38 |
| Hep G2 Cells                                                                               |                      38 |
| Tissue Distribution                                                                        |                      38 |
| Mutagenesis                                                                                |                      38 |
| *Karyopherins                                                                              |                      38 |
| Saccharomyces cerevisiae/genetics/growth & development/*metabolism                         |                      38 |
| Biological Transport, Active                                                               |                      38 |
| *Receptors, Cytoplasmic and Nuclear                                                        |                      38 |
| DEAD-box RNA Helicases/*chemistry/metabolism                                               |                      37 |
| 86-01-1 (Guanosine Triphosphate)                                                           |                      37 |
| RNA, Messenger/*genetics/*metabolism                                                       |                      37 |
| *Blood Pressure                                                                            |                      37 |
| 0 (Viral Regulatory and Accessory Proteins)                                                |                      37 |
| Conserved Sequence/*genetics                                                               |                      37 |
| Cell Cycle Proteins/genetics/metabolism                                                    |                      37 |
| EC 2.7.7.-. (sum3 protein, S pombe)                                                        |                      37 |
| 0 (Cell Cycle Proteins)                                                                    |                      37 |
| Spores, Fungal/genetics/growth & development                                               |                      37 |
| EC 3.6.1.- (DHH1 protein, S cerevisiae)                                                    |                      37 |
| Saccharomyces cerevisiae/*enzymology/genetics/physiology                                   |                      37 |
| Xenopus Proteins/genetics                                                                  |                      37 |
| *RNA-Binding Proteins                                                                      |                      37 |
| 0 (Xenopus Proteins)                                                                       |                      37 |
| *Schizosaccharomyces pombe Proteins                                                        |                      37 |
| Ribonucleoproteins/genetics/metabolism                                                     |                      36 |
| Cell Survival/genetics                                                                     |                      36 |
| *Zhu-Tokita-Takenouchi-Kim syndrome                                                        |                      36 |
| Abnormalities, Multiple/*genetics                                                          |                      35 |
| Active Transport, Cell Nucleus/*physiology                                                 |                      34 |
| *Nuclear speckles                                                                          |                      34 |
| Developmental Disabilities/*genetics                                                       |                      34 |
| Systole                                                                                    |                      34 |
| Diastole                                                                                   |                      34 |
| Skinfold Thickness                                                                         |                      34 |
| Nuclear Envelope/*metabolism                                                               |                      34 |
| nuclear pore complex                                                                       |                      34 |
| nucleoporin                                                                                |                      34 |
| Membrane Transport Proteins/genetics/metabolism                                            |                      34 |
| DEAD-box protein                                                                           |                      34 |
| nuclear transport                                                                          |                      34 |
| DNA-Binding Proteins/*metabolism                                                           |                      34 |
| Nuclear Pore Complex Proteins/physiology                                                   |                      33 |
| Saccharomyces cerevisiae Proteins/metabolism/physiology                                    |                      33 |
| Dimerization                                                                               |                      33 |
| Membrane Transport Proteins/metabolism                                                     |                      33 |
| Nucleocytoplasmic Transport Proteins/metabolism/physiology                                 |                      33 |
| Carrier Proteins/physiology                                                                |                      33 |
| RNA Helicases/physiology                                                                   |                      33 |
| DEAD-box RNA Helicases/physiology                                                          |                      33 |
| Spindle Apparatus/metabolism                                                               |                      33 |
| Cytokinesis                                                                                |                      33 |
| Saccharomyces cerevisiae Proteins/chemistry/genetics/*metabolism                           |                      32 |
| Binding Sites/genetics                                                                     |                      32 |
| Catalysis                                                                                  |                      32 |
| DEAD-box RNA Helicases/chemistry/genetics/*metabolism                                      |                      32 |
| Nucleocytoplasmic Transport Proteins/chemistry/genetics/*metabolism                        |                      32 |
| Longitudinal Studies                                                                       |                      32 |
| Eukaryotic Initiation Factor-4A                                                            |                      32 |
| Peptide Initiation Factors/chemistry                                                       |                      32 |
| 0 (Peptide Library)                                                                        |                      32 |
| Fungal Proteins/chemistry/genetics/metabolism                                              |                      32 |
| Schizosaccharomyces/enzymology                                                             |                      32 |
| Recombinant Proteins/chemistry/metabolism                                                  |                      32 |
| Peptide Library                                                                            |                      32 |
| 0 (Peptide Initiation Factors)                                                             |                      32 |
| Databases, Factual                                                                         |                      32 |
| Proto-Oncogene Proteins/genetics/metabolism                                                |                      32 |
| 0 (Wnt1 Protein)                                                                           |                      32 |
| Drosophila melanogaster/*genetics/*growth & development/metabolism                         |                      32 |
| Transcription Factors/genetics/metabolism                                                  |                      32 |
| Wings, Animal/*growth & development                                                        |                      32 |
| Drosophila Proteins/genetics/metabolism                                                    |                      32 |
| 0 (Receptors, Notch)                                                                       |                      32 |
| Receptors, Notch/genetics/metabolism                                                       |                      32 |
| *Genes, Insect                                                                             |                      32 |
| 0 (Homeodomain Proteins)                                                                   |                      32 |
| Winged-Helix Transcription Factors/genetics/metabolism                                     |                      32 |
| Wnt1 Protein                                                                               |                      32 |
| 0 (Winged-Helix Transcription Factors)                                                     |                      32 |
| 0 (N protein, Drosophila)                                                                  |                      32 |
| Animals, Genetically Modified                                                              |                      32 |
| DNA Primers/genetics                                                                       |                      32 |
| 0 (ct protein, Drosophila)                                                                 |                      32 |
| 0 (wg protein, Drosophila)                                                                 |                      32 |
| Body Patterning/genetics                                                                   |                      32 |
| Enhancer Elements, Genetic                                                                 |                      32 |
| Gene Expression Regulation, Developmental                                                  |                      32 |
| Homeodomain Proteins/genetics/metabolism                                                   |                      32 |
| Developmental Disabilities/*genetics/pathology                                             |                      32 |
| Intellectual Disability/*genetics/pathology                                                |                      32 |
| Lung/metabolism                                                                            |                      32 |
| T-Lymphocytes/metabolism                                                                   |                      32 |
| DNA, Viral/metabolism                                                                      |                      32 |
| EC 1.13.12.- (Luciferases)                                                                 |                      32 |
| 7S5I7G3JQL (Dexamethasone)                                                                 |                      32 |
| Epithelium/metabolism                                                                      |                      32 |
| 0 (DNA, Viral)                                                                             |                      32 |
| Luciferases/biosynthesis                                                                   |                      32 |
| Dexamethasone/pharmacology                                                                 |                      32 |
| Mammary Glands, Animal/metabolism                                                          |                      32 |
| Gene Expression/drug effects                                                               |                      32 |
| Nuclear Pore Complex Proteins/*chemistry/genetics/*physiology                              |                      31 |
| Adenosine Triphosphatases/chemistry                                                        |                      31 |
| Saccharomyces cerevisiae Proteins/*chemistry/genetics/*metabolism/*physiology              |                      31 |
| RNA Helicases/*chemistry/*metabolism                                                       |                      31 |
| Recombinant Proteins/chemistry                                                             |                      31 |
| 0 (Transcription Factor TFIID)                                                             |                      31 |
| Transcription Factors, TFII/chemistry/*genetics/*metabolism                                |                      31 |
| *TATA-Binding Protein Associated Factors                                                   |                      31 |
| 0 (TAF6 protein, S cerevisiae)                                                             |                      31 |
| *Transcription Factor TFIID                                                                |                      31 |
| 0 (TATA-Binding Protein Associated Factors)                                                |                      31 |
| Transcription Factor TFIIH                                                                 |                      31 |
| Protein Kinases/chemistry/genetics/metabolism                                              |                      31 |
| 0 (Transcription Factors, TFII)                                                            |                      31 |
| 148710-81-0 (Transcription Factor TFIIH)                                                   |                      31 |
| RNA, Fungal/*genetics/*metabolism                                                          |                      31 |
| RNA Helicases/*genetics/*metabolism                                                        |                      31 |
| Genes, Suppressor                                                                          |                      31 |
| EC 2.7.1.- (carboxy-terminal domain kinase)                                                |                      31 |
| Arabidopsis Proteins/genetics/*metabolism                                                  |                      31 |
| Amino Acids/metabolism                                                                     |                      31 |
| EC 2.7.1.- (inositol 1,3,4,5,6-pentakisphosphate 2-kinase, Arabidopsis)                    |                      31 |
| 0 (Arabidopsis Proteins)                                                                   |                      31 |
| 0 (Gle1 protein, Arabidopsis)                                                              |                      31 |
| Subcellular Fractions/metabolism                                                           |                      31 |
| Tobacco                                                                                    |                      31 |
| Arabidopsis/genetics/*growth & development/*metabolism                                     |                      31 |
| Seeds/growth & development                                                                 |                      31 |
| Fertility                                                                                  |                      31 |
| Plants, Genetically Modified                                                               |                      31 |
| Phosphotransferases (Alcohol Group Acceptor)/*metabolism                                   |                      31 |
| 0 (Amino Acids)                                                                            |                      31 |
| EC 3.6.1.- (LOS4 protein, Arabidopsis)                                                     |                      31 |
| Blotting, Western                                                                          |                      30 |
| 0 (Antibodies)                                                                             |                      30 |
| *SRRM2                                                                                     |                      30 |
| Antibodies, Monoclonal                                                                     |                      30 |
| *human                                                                                     |                      30 |
| *SRSF2                                                                                     |                      30 |
| *chemical biology                                                                          |                      30 |
| *biochemistry                                                                              |                      30 |
| *LLPS                                                                                      |                      30 |
| Minor Histocompatibility Antigens/genetics/*metabolism                                     |                      30 |
| 0 (Antibodies, Monoclonal)                                                                 |                      30 |
| Gene Knock-In Techniques                                                                   |                      30 |
| 0 (SRRM2 protein, human)                                                                   |                      30 |
| Serine-Arginine Splicing Factors/genetics/metabolism                                       |                      30 |
| Antibodies                                                                                 |                      30 |
| *cell biology                                                                              |                      30 |
| *nuclear speckles                                                                          |                      30 |
| *RNA                                                                                       |                      30 |
| 0 (SRSF7 protein, human)                                                                   |                      30 |
| Hematopoietic Stem Cells/cytology                                                          |                      30 |
| Gene Expression Regulation/genetics                                                        |                      30 |
| RNA Precursors/genetics                                                                    |                      30 |
| beta Karyopherins/genetics                                                                 |                      30 |
| EC 2.7.10.1 (Protein-Tyrosine Kinases)                                                     |                      30 |
| EC 2.7.1.- (Clk dual-specificity kinases)                                                  |                      30 |
| 0 (TNPO3 protein, human)                                                                   |                      30 |
| Protein-Tyrosine Kinases/genetics                                                          |                      30 |
| Introns/genetics                                                                           |                      30 |
| RNA Splicing Factors/*genetics                                                             |                      30 |
| Phosphorylation                                                                            |                      30 |
| Protein Serine-Threonine Kinases/genetics                                                  |                      30 |
| RNA, Long Noncoding/genetics                                                               |                      30 |
| RNA, Small Interfering/genetics                                                            |                      30 |
| EC 2.7.11.1 (Protein Serine-Threonine Kinases)                                             |                      30 |
| helicase                                                                                   |                      30 |
| DNA-Binding Proteins/genetics/*physiology                                                  |                      30 |
