<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (Nucleocytoplasmic Transport Proteins)>>	<<48>>
<<Female>>	<<0 (Core Binding Factor Alpha 2 Subunit)>>	<<1>>
<<Female>>	<<Chromosome Aberrations>>	<<1>>
<<Female>>	<<Down Syndrome Critical Region>>	<<1>>
<<Female>>	<<Comparative Genomic Hybridization/methods>>	<<1>>
<<Female>>	<<Chromosomes, Human/*genetics>>	<<1>>
<<Female>>	<<0 (RCAN1 protein, human)>>	<<1>>
<<Female>>	<<EC 1.15.1.1 (Superoxide Dismutase-1)>>	<<1>>
<<Female>>	<<Minor Histocompatibility Antigens/genetics>>	<<1>>
<<Female>>	<<Chromosomes, Human, Pair 21/*genetics>>	<<1>>
<<Female>>	<<Microarray Analysis/methods>>	<<1>>
<<Female>>	<<Core Binding Factor Alpha 2 Subunit/genetics>>	<<1>>
<<Female>>	<<0 (SOD1 protein, human)>>	<<1>>
<<Female>>	<<0 (RUNX1 protein, human)>>	<<1>>
<<Female>>	<<Gene Dosage/genetics>>	<<1>>
<<Female>>	<<0 (ITSN1 protein, human)>>	<<1>>
<<Female>>	<<Down Syndrome/*genetics/physiopathology>>	<<1>>
<<Female>>	<<Genetic Association Studies>>	<<1>>
<<Female>>	<<In Situ Hybridization, Fluorescence/methods>>	<<1>>
<<Female>>	<<Muscle Proteins/genetics>>	<<1>>
<<Female>>	<<0 (Muscle Proteins)>>	<<1>>
<<Female>>	<<Epidemiologic Methods>>	<<1>>
<<Female>>	<<Blood Pressure/*drug effects>>	<<1>>
<<Female>>	<<Body Weight>>	<<1>>
<<Female>>	<<Hypertension/chemically induced/complications>>	<<1>>
<<Female>>	<<Sodium Chloride/*pharmacology>>	<<1>>
<<Female>>	<<451W47IQ8X (Sodium Chloride)>>	<<1>>
<<Female>>	<<9NEZ333N27 (Sodium)>>	<<1>>
<<Female>>	<<Sodium/urine>>	<<1>>
<<Female>>	<<Obesity/*complications>>	<<1>>
<<Female>>	<<Boston>>	<<1>>
<<Female>>	<<Energy Intake>>	<<1>>
<<Female>>	<<*Diet>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<*telomerase>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<EC 2.7.7.49 (TERT protein, human)>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<RNA, Messenger/genetics/metabolism>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<Primary Cell Culture>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<*Telomere Homeostasis>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<*Enhancer Elements, Genetic>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<*telomeres>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<Pedigree>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<RNA Stability>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<Cell Differentiation>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<Telomerase/deficiency/*genetics>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<Human Embryonic Stem Cells/metabolism/pathology>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<*hTERT>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<Blastocyst/metabolism/pathology>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<Child, Preschool>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<Pluripotent Stem Cells/metabolism/pathology>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<*alternative splicing>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<0 (RNA, Messenger)>>	<<1>>
<<Telomere/*metabolism/pathology>>	<<Minor Histocompatibility Antigens/*genetics>>	<<1>>
<<*telomerase>>	<<EC 2.7.7.49 (TERT protein, human)>>	<<1>>
<<*telomerase>>	<<RNA, Messenger/genetics/metabolism>>	<<1>>
<<*telomerase>>	<<Primary Cell Culture>>	<<1>>
<<*telomerase>>	<<*Telomere Homeostasis>>	<<1>>
<<*telomerase>>	<<*Enhancer Elements, Genetic>>	<<1>>
<<*telomerase>>	<<*telomeres>>	<<1>>
<<*telomerase>>	<<Pedigree>>	<<1>>
<<*telomerase>>	<<RNA Stability>>	<<1>>
<<*telomerase>>	<<Cell Differentiation>>	<<1>>
<<*telomerase>>	<<Telomerase/deficiency/*genetics>>	<<1>>
<<*telomerase>>	<<Human Embryonic Stem Cells/metabolism/pathology>>	<<1>>
<<*telomerase>>	<<*hTERT>>	<<1>>
<<*telomerase>>	<<Blastocyst/metabolism/pathology>>	<<1>>
<<*telomerase>>	<<Child, Preschool>>	<<1>>
<<*telomerase>>	<<Pluripotent Stem Cells/metabolism/pathology>>	<<1>>
<<*telomerase>>	<<*alternative splicing>>	<<1>>
<<*telomerase>>	<<0 (RNA, Messenger)>>	<<1>>
<<*telomerase>>	<<Minor Histocompatibility Antigens/*genetics>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<RNA, Messenger/genetics/metabolism>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<Primary Cell Culture>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<*Telomere Homeostasis>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<*Enhancer Elements, Genetic>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<*telomeres>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<Pedigree>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<RNA Stability>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<Cell Differentiation>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<Telomerase/deficiency/*genetics>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<Human Embryonic Stem Cells/metabolism/pathology>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<*hTERT>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<Blastocyst/metabolism/pathology>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<Child, Preschool>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<Pluripotent Stem Cells/metabolism/pathology>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<*alternative splicing>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<0 (RNA, Messenger)>>	<<1>>
<<EC 2.7.7.49 (TERT protein, human)>>	<<Minor Histocompatibility Antigens/*genetics>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Primary Cell Culture>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<*Telomere Homeostasis>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<*Enhancer Elements, Genetic>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<*telomeres>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Pedigree>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<RNA Stability>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Cell Differentiation>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Telomerase/deficiency/*genetics>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Human Embryonic Stem Cells/metabolism/pathology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<*hTERT>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Blastocyst/metabolism/pathology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Child, Preschool>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Pluripotent Stem Cells/metabolism/pathology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<*alternative splicing>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Minor Histocompatibility Antigens/*genetics>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Saccharomyces cerevisiae/enzymology/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Saccharomyces cerevisiae Proteins/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Peptide Chain Termination, Translational>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Cytoplasm/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<RNA Transport>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Cell Nucleus/enzymology/genetics/*metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<EC 3.6.1.- (Adenosine Triphosphatases)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Adenosine Triphosphatases/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<EC 3.6.1.- (RNA-dependent ATPase)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Nerve Tissue Proteins/*genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Spheroids, Cellular/metabolism/pathology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Mice>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Repressor Proteins/*genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Gene Expression Regulation, Neoplastic>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<DNA-Binding Proteins/antagonists & inhibitors/*genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (PTBP2 protein, human)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<RNA Splicing Factors/*genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Survival Analysis>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (RNA, Small Interfering)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Exons>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Cell Cycle/genetics>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Repressor Proteins)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Heterogeneous-Nuclear Ribonucleoproteins/*genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Heterogeneous-Nuclear Ribonucleoprotein Group A-B/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<RNA, Small Interfering/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (RBFOX2 protein, human)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (RNA Splicing Factors)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (PTBP1 protein, human)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Neurons/metabolism/pathology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<*RNA Splicing>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Nerve Tissue Proteins)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Brain Neoplasms/*genetics/metabolism/mortality/pathology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Signal Transduction>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Polypyrimidine Tract-Binding Protein/*genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Heterogeneous-Nuclear Ribonucleoprotein Group A-B)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Cell Proliferation>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Neuroglia/metabolism/pathology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Heterografts>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Cell Line, Tumor>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Minor Histocompatibility Antigens/*genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Heterogeneous-Nuclear Ribonucleoproteins)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Introns>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<139076-35-0 (Polypyrimidine Tract-Binding Protein)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Glioblastoma/*genetics/metabolism/mortality/pathology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Gene Expression Regulation, Fungal/*physiology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<RNA, Fungal/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Mutation>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<EC 3.6.1.- (DED1 protein, S cerevisiae)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Peptide Chain Initiation, Translational/*physiology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Saccharomyces cerevisiae/genetics/*metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Biological Transport, Active/physiology>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (RNA, Fungal)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Peptide Termination Factors/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Eukaryotic Initiation Factor-2/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Eukaryotic Initiation Factor-4F/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<*Protein Biosynthesis>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Ribosome Subunits, Small, Eukaryotic/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Eukaryotic Initiation Factor-2)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Saccharomyces cerevisiae/genetics/growth & development/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<9014-25-9 (RNA, Transfer)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Computer Simulation>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (SUP45 protein, S cerevisiae)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Saccharomyces cerevisiae Proteins/*genetics/*metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Eukaryotic Initiation Factor-4F)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<RNA, Transfer/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Gene Duplication>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Cloning, Molecular>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (NUP42 protein, S cerevisiae)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Ribonucleoproteins/genetics/*metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<nuclear pore complex>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (NUP159 protein, S cerevisiae)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (MEX67 protein, S cerevisiae)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Nuclear Proteins)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Ribonucleoproteins)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Genetic Vectors>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Cytoplasm/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Nuclear Proteins/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Saccharomyces cerevisiae/*genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Membrane Transport Proteins/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<DEAD-box protein>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<nucleoporin>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<nuclear transport>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Mtr2 protein, S cerevisiae)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<RNA-Binding Proteins/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<In Situ Hybridization, Fluorescence>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (messenger ribonucleoprotein)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Membrane Transport Proteins)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<mRNA export>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Tobacco>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Fertility>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Gene Silencing>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Nuclear Envelope/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Amino Acids)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Amino Acids/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<EC 3.6.1.- (LOS4 protein, Arabidopsis)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Protein Binding>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Arabidopsis Proteins)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Phosphotransferases (Alcohol Group Acceptor)/*metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Plants, Genetically Modified>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Arabidopsis/genetics/*growth & development/*metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Cytosol/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Seeds/growth & development>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Mutation/*genetics>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Subcellular Fractions/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Arabidopsis Proteins/genetics/*metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Binding Sites>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Protein Processing, Post-Translational>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<*RNA Transport>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<EC 2.7.1.- (Phosphotransferases (Alcohol Group Acceptor))>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<EC 2.7.1.- (inositol 1,3,4,5,6-pentakisphosphate 2-kinase, Arabidopsis)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<DEAD-box RNA Helicases/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Gle1 protein, Arabidopsis)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Phenotype>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Phytic Acid/*metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<7IGF0S7R8I (Phytic Acid)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Models, Biological>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Karyopherins/genetics/*metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Protein Transport>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<beta Karyopherins>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Protein Biosynthesis>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<Saccharomyces cerevisiae/*cytology/genetics/metabolism>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (Karyopherins)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (beta Karyopherins)>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<*Mitosis>>	<<1>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (KAP104 protein, S cerevisiae)>>	<<1>>
<<Primary Cell Culture>>	<<*Telomere Homeostasis>>	<<1>>
<<Primary Cell Culture>>	<<*Enhancer Elements, Genetic>>	<<1>>
<<Primary Cell Culture>>	<<*telomeres>>	<<1>>
<<Primary Cell Culture>>	<<Pedigree>>	<<1>>
<<Primary Cell Culture>>	<<RNA Stability>>	<<1>>
<<Primary Cell Culture>>	<<Cell Differentiation>>	<<1>>
<<Primary Cell Culture>>	<<Telomerase/deficiency/*genetics>>	<<1>>
<<Primary Cell Culture>>	<<Human Embryonic Stem Cells/metabolism/pathology>>	<<1>>
<<Primary Cell Culture>>	<<*hTERT>>	<<1>>
<<Primary Cell Culture>>	<<Blastocyst/metabolism/pathology>>	<<1>>
<<Primary Cell Culture>>	<<Child, Preschool>>	<<1>>
<<Primary Cell Culture>>	<<Pluripotent Stem Cells/metabolism/pathology>>	<<1>>
<<Primary Cell Culture>>	<<*alternative splicing>>	<<1>>
<<Primary Cell Culture>>	<<0 (RNA, Messenger)>>	<<1>>
<<Primary Cell Culture>>	<<Minor Histocompatibility Antigens/*genetics>>	<<1>>
<<*Telomere Homeostasis>>	<<*Enhancer Elements, Genetic>>	<<1>>
<<*Telomere Homeostasis>>	<<*telomeres>>	<<1>>
<<*Telomere Homeostasis>>	<<Pedigree>>	<<1>>
<<*Telomere Homeostasis>>	<<RNA Stability>>	<<1>>
<<*Telomere Homeostasis>>	<<Cell Differentiation>>	<<1>>
<<*Telomere Homeostasis>>	<<Telomerase/deficiency/*genetics>>	<<1>>
<<*Telomere Homeostasis>>	<<Human Embryonic Stem Cells/metabolism/pathology>>	<<1>>
<<*Telomere Homeostasis>>	<<*hTERT>>	<<1>>
<<*Telomere Homeostasis>>	<<Blastocyst/metabolism/pathology>>	<<1>>
<<*Telomere Homeostasis>>	<<Child, Preschool>>	<<1>>
<<*Telomere Homeostasis>>	<<Pluripotent Stem Cells/metabolism/pathology>>	<<1>>
<<*Telomere Homeostasis>>	<<*alternative splicing>>	<<1>>
<<*Telomere Homeostasis>>	<<0 (RNA, Messenger)>>	<<1>>
<<*Telomere Homeostasis>>	<<Minor Histocompatibility Antigens/*genetics>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<*telomeres>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<Pedigree>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<RNA Stability>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<Cell Differentiation>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<Telomerase/deficiency/*genetics>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<Human Embryonic Stem Cells/metabolism/pathology>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<*hTERT>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<Blastocyst/metabolism/pathology>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<Child, Preschool>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<Pluripotent Stem Cells/metabolism/pathology>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<*alternative splicing>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<0 (RNA, Messenger)>>	<<1>>
<<*Enhancer Elements, Genetic>>	<<Minor Histocompatibility Antigens/*genetics>>	<<1>>
<<*telomeres>>	<<Pedigree>>	<<1>>
<<*telomeres>>	<<RNA Stability>>	<<1>>
<<*telomeres>>	<<Cell Differentiation>>	<<1>>
<<*telomeres>>	<<Telomerase/deficiency/*genetics>>	<<1>>
<<*telomeres>>	<<Human Embryonic Stem Cells/metabolism/pathology>>	<<1>>
<<*telomeres>>	<<*hTERT>>	<<1>>
<<*telomeres>>	<<Blastocyst/metabolism/pathology>>	<<1>>
<<*telomeres>>	<<Child, Preschool>>	<<1>>
<<*telomeres>>	<<Pluripotent Stem Cells/metabolism/pathology>>	<<1>>
<<*telomeres>>	<<*alternative splicing>>	<<1>>
<<*telomeres>>	<<0 (RNA, Messenger)>>	<<1>>
<<*telomeres>>	<<Minor Histocompatibility Antigens/*genetics>>	<<1>>
<<Pedigree>>	<<RNA Stability>>	<<1>>
<<Pedigree>>	<<Cell Differentiation>>	<<1>>
<<Pedigree>>	<<Telomerase/deficiency/*genetics>>	<<1>>
<<Pedigree>>	<<Human Embryonic Stem Cells/metabolism/pathology>>	<<1>>
<<Pedigree>>	<<*hTERT>>	<<1>>
<<Pedigree>>	<<Blastocyst/metabolism/pathology>>	<<1>>
<<Pedigree>>	<<Pluripotent Stem Cells/metabolism/pathology>>	<<1>>
<<Pedigree>>	<<*alternative splicing>>	<<1>>
<<Pedigree>>	<<Eye Abnormalities/genetics>>	<<1>>
<<Pedigree>>	<<Head/abnormalities>>	<<1>>
<<Pedigree>>	<<Spine/abnormalities>>	<<1>>
<<Pedigree>>	<<DNA-Binding Proteins/analysis/*genetics/metabolism>>	<<1>>
<<Pedigree>>	<<Minor Histocompatibility Antigens/analysis/*genetics/metabolism>>	<<1>>
<<Pedigree>>	<<Genes, Essential/*genetics>>	<<1>>
<<Pedigree>>	<<Brain/abnormalities/*embryology/*metabolism/pathology>>	<<1>>
<<Pedigree>>	<<Mutation/*genetics>>	<<1>>
<<Pedigree>>	<<Intellectual Disability/*genetics/pathology/physiopathology>>	<<1>>
<<Pedigree>>	<<Zebrafish/abnormalities/embryology/genetics>>	<<1>>
<<Pedigree>>	<<Haploinsufficiency/genetics>>	<<1>>
<<Pedigree>>	<<RNA Splicing/*genetics>>	<<1>>
<<Pedigree>>	<<RNA, Messenger/analysis>>	<<1>>
<<Pedigree>>	<<Developmental Disabilities/genetics/pathology/physiopathology>>	<<1>>
<<Pedigree>>	<<Metabolic Diseases/genetics/metabolism>>	<<1>>
<<Pedigree>>	<<Heterozygote>>	<<1>>
<<Pedigree>>	<<Sequence Deletion/*genetics>>	<<1>>
<<Pedigree>>	<<DNA-Binding Proteins/chemistry/*genetics>>	<<1>>
<<Pedigree>>	<<Failure to Thrive/*genetics>>	<<1>>
<<Pedigree>>	<<Intellectual Disability/*genetics>>	<<1>>
<<Pedigree>>	<<Brain/abnormalities>>	<<1>>
<<Pedigree>>	<<Developmental Disabilities/*genetics>>	<<1>>
<<Pedigree>>	<<Adolescent>>	<<1>>
<<Pedigree>>	<<Minor Histocompatibility Antigens/chemistry/*genetics>>	<<1>>
<<Pedigree>>	<<Child>>	<<1>>
<<Pedigree>>	<<Young Adult>>	<<1>>
<<Pedigree>>	<<Congenital Abnormalities/*genetics>>	<<1>>
<<Pedigree>>	<<Exome/genetics>>	<<1>>
<<Pedigree>>	<<Cafe-au-Lait Spots/*genetics>>	<<1>>
<<Pedigree>>	<<Cafe au lait spots, multiple>>	<<1>>
<<Pedigree>>	<<Point Mutation>>	<<1>>
<<Pedigree>>	<<DNA-Binding Proteins/*genetics>>	<<1>>
<<Pedigree>>	<<Fatal Outcome>>	<<1>>
<<Pedigree>>	<<*Cancer syndrome>>	<<1>>
<<Pedigree>>	<<Consanguinity>>	<<1>>
<<Pedigree>>	<<*Skin alteration>>	<<1>>
<<Pedigree>>	<<Medulloblastoma/*genetics>>	<<1>>
<<Pedigree>>	<<*Medulloblastoma>>	<<1>>
<<Pedigree>>	<<Cerebellar Neoplasms/*genetics>>	<<1>>
<<RNA Stability>>	<<Cell Differentiation>>	<<1>>
<<RNA Stability>>	<<Telomerase/deficiency/*genetics>>	<<1>>
<<RNA Stability>>	<<Human Embryonic Stem Cells/metabolism/pathology>>	<<1>>
<<RNA Stability>>	<<*hTERT>>	<<1>>
<<RNA Stability>>	<<Blastocyst/metabolism/pathology>>	<<1>>
<<RNA Stability>>	<<Child, Preschool>>	<<1>>
<<RNA Stability>>	<<Pluripotent Stem Cells/metabolism/pathology>>	<<1>>
<<RNA Stability>>	<<*alternative splicing>>	<<1>>
