| Entity                                                        | Entity                                                        |   Number of cooccurrences |
| intellectual disability                                       | feeding difficulties                                          |                0.0147059  |
| intellectual disability                                       | ventriculomegaly                                              |                0.0147059  |
| intellectual disability                                       | son mutations                                                 |                0.0147059  |
| intellectual disability                                       | developmental and speech delay                                |                0.0147059  |
| intellectual disability                                       | duodenal atresia                                              |                0.0147059  |
| intellectual disability                                       | intestinal malrotation                                        |                0.0147059  |
| intellectual disability                                       | infections of the respiratory tract and internal ear          |                0.0147059  |
| intellectual disability                                       | son haploinsufficiency                                        |                0.0144928  |
| dysmorphic features                                           | facial dysmorphism                                            |                0.0140845  |
| intellectual disability                                       | seizures                                                      |                0.0140845  |
| facial dysmorphism                                            | hypotonia                                                     |                0.0136986  |
| intellectual disability                                       | facial dysmorphism                                            |                0.0126582  |
| son                                                           | phenotypic abnormalities                                      |                0.0120482  |
| son                                                           | intellectual disability syndrome                              |                0.0120482  |
| abnormal brain imaging                                        | son                                                           |                0.0114943  |
| multisystemic disorder                                        | son                                                           |                0.0114943  |
| c.5753_5756del                                                | son                                                           |                0.0114943  |
| son                                                           | congenital anomalies                                          |                0.0114943  |
| son                                                           | growth hormone deficiency                                     |                0.0114943  |
| son                                                           | amino                                                         |                0.0114943  |
| son                                                           | palmar crease                                                 |                0.0114943  |
| son                                                           | p.ser1766leufs*7                                              |                0.0114943  |
| son                                                           | growth hormone                                                |                0.0114943  |
| son                                                           | autosomal dominant genetic disorder                           |                0.0114943  |
| son                                                           | son variants                                                  |                0.0114943  |
| son                                                           | multisystem developmental disorder                            |                0.011236   |
| son                                                           | visual abnormalities                                          |                0.011236   |
| son                                                           | disability                                                    |                0.011236   |
| son                                                           | retronychia of the toenails                                   |                0.011236   |
| son                                                           | dental abnormalities                                          |                0.011236   |
| son                                                           | delayed psychomotor development                               |                0.011236   |
| son                                                           | skin and nails abnormalities                                  |                0.011236   |
| zttk                                                          | phenotypic abnormalities                                      |                0.011236   |
| zttk                                                          | intellectual disability syndrome                              |                0.011236   |
| zttk                                                          | motor retardation                                             |                0.010989   |
| zttk                                                          | c.394c>t                                                      |                0.010989   |
| zttk                                                          | p.q132x                                                       |                0.010989   |
| zttk                                                          | growth and development delay                                  |                0.010989   |
| intellectual disability                                       | hypotonia                                                     |                0.0108696  |
| abnormal brain imaging                                        | zttk                                                          |                0.0107527  |
| multisystemic disorder                                        | zttk                                                          |                0.0107527  |
| c.5753_5756del                                                | zttk                                                          |                0.0107527  |
| son                                                           | levetiracetam                                                 |                0.0107527  |
| son                                                           | developmental delay                                           |                0.0107527  |
| son                                                           | intellectual disabilities                                     |                0.0107527  |
| son                                                           | neonatal hypotonia                                            |                0.0107527  |
| son                                                           | p. arg1778serfs*11                                            |                0.0107527  |
| son                                                           | facial abnormalities                                          |                0.0107527  |
| son                                                           | abnormalities in the heart, genitourinary or skeletal systems |                0.0107527  |
| son                                                           | c.5334_5335delag                                              |                0.0107527  |
| son                                                           | esotropia                                                     |                0.0107527  |
| zttk                                                          | congenital anomalies                                          |                0.0107527  |
| zttk                                                          | growth hormone deficiency                                     |                0.0107527  |
| zttk                                                          | amino                                                         |                0.0107527  |
| zttk                                                          | palmar crease                                                 |                0.0107527  |
| zttk                                                          | p.ser1766leufs*7                                              |                0.0107527  |
| zttk                                                          | growth hormone                                                |                0.0107527  |
| zttk                                                          | autosomal dominant genetic disorder                           |                0.0107527  |
| zttk                                                          | son variants                                                  |                0.0107527  |
| son                                                           | congenital anomaly syndrome                                   |                0.0105263  |
| son                                                           | dendritic spine abnormalities                                 |                0.0105263  |
| son                                                           | mice                                                          |                0.0105263  |
| son                                                           | son insufficiency                                             |                0.0105263  |
| son                                                           | mouse                                                         |                0.0105263  |
| son                                                           | neuronal migration defects                                    |                0.0105263  |
| son                                                           | musculoskeletal abnormalities                                 |                0.0105263  |
| son                                                           | visceral malformations                                        |                0.0105263  |
| son                                                           | truncated son protein                                         |                0.0105263  |
| son                                                           | neural abnormalities                                          |                0.0105263  |
| son                                                           | zttk syndrome gene                                            |                0.0105263  |
| son                                                           | brain malformation                                            |                0.0105263  |
| son                                                           | facial features                                               |                0.0105263  |
| zttk                                                          | multisystem developmental disorder                            |                0.0105263  |
| zttk                                                          | visual abnormalities                                          |                0.0105263  |
| zttk                                                          | disability                                                    |                0.0105263  |
| zttk                                                          | retronychia of the toenails                                   |                0.0105263  |
| zttk                                                          | dental abnormalities                                          |                0.0105263  |
| zttk                                                          | delayed psychomotor development                               |                0.0105263  |
| zttk                                                          | skin and nails abnormalities                                  |                0.0105263  |
| son                                                           | febrile seizures                                              |                0.0102041  |
| son                                                           | hlhs                                                          |                0.0102041  |
| son                                                           | son gene mutation                                             |                0.0102041  |
| son                                                           | iga                                                           |                0.0102041  |
| son                                                           | intellectual and psychomotor disability                       |                0.0102041  |
| son                                                           | gastroparesis                                                 |                0.0102041  |
| son                                                           | hypoplastic left heart syndrome                               |                0.0102041  |
| son                                                           | asymmetry of ventricles                                       |                0.0102041  |
| son                                                           | feeding difficulties                                          |                0.0102041  |
| son                                                           | ventriculomegaly                                              |                0.0102041  |
| son                                                           | son mutations                                                 |                0.0102041  |
| son                                                           | developmental and speech delay                                |                0.0102041  |
| son                                                           | duodenal atresia                                              |                0.0102041  |
| son                                                           | intestinal malrotation                                        |                0.0102041  |
| son                                                           | infections of the respiratory tract and internal ear          |                0.0102041  |
| zttk                                                          | levetiracetam                                                 |                0.010101   |
| zttk                                                          | developmental delay                                           |                0.010101   |
| zttk                                                          | intellectual disabilities                                     |                0.010101   |
| zttk                                                          | neonatal hypotonia                                            |                0.010101   |
| zttk                                                          | p. arg1778serfs*11                                            |                0.010101   |
| zttk                                                          | facial abnormalities                                          |                0.010101   |
| zttk                                                          | abnormalities in the heart, genitourinary or skeletal systems |                0.010101   |
| zttk                                                          | c.5334_5335delag                                              |                0.010101   |
| zttk                                                          | esotropia                                                     |                0.010101   |
| zttk                                                          | congenital anomaly syndrome                                   |                0.00990099 |
| zttk                                                          | dendritic spine abnormalities                                 |                0.00990099 |
| zttk                                                          | mice                                                          |                0.00990099 |
| zttk                                                          | son insufficiency                                             |                0.00990099 |
| zttk                                                          | mouse                                                         |                0.00990099 |
| zttk                                                          | neuronal migration defects                                    |                0.00990099 |
| zttk                                                          | musculoskeletal abnormalities                                 |                0.00990099 |
| zttk                                                          | visceral malformations                                        |                0.00990099 |
| zttk                                                          | truncated son protein                                         |                0.00990099 |
| zttk                                                          | neural abnormalities                                          |                0.00990099 |
| zttk                                                          | zttk syndrome gene                                            |                0.00990099 |
| zttk                                                          | brain malformation                                            |                0.00990099 |
| zttk                                                          | febrile seizures                                              |                0.00961538 |
| zttk                                                          | hlhs                                                          |                0.00961538 |
| zttk                                                          | son gene mutation                                             |                0.00961538 |
| zttk                                                          | iga                                                           |                0.00961538 |
| zttk                                                          | intellectual and psychomotor disability                       |                0.00961538 |
| zttk                                                          | gastroparesis                                                 |                0.00961538 |
| zttk                                                          | hypoplastic left heart syndrome                               |                0.00961538 |
| zttk                                                          | asymmetry of ventricles                                       |                0.00961538 |
| zttk                                                          | feeding difficulties                                          |                0.00961538 |
| zttk                                                          | ventriculomegaly                                              |                0.00961538 |
| zttk                                                          | son mutations                                                 |                0.00961538 |
| zttk                                                          | developmental and speech delay                                |                0.00961538 |
| zttk                                                          | duodenal atresia                                              |                0.00961538 |
| zttk                                                          | intestinal malrotation                                        |                0.00961538 |
| zttk                                                          | infections of the respiratory tract and internal ear          |                0.00961538 |
