| Entity                                                                                                 |   Number of occurrences |
| cpn8                                                                                                   |                      53 |
| e3.5                                                                                                   |                      53 |
| dcaf12l1                                                                                               |                      53 |
| )-methyltransferase 3-like                                                                             |                      53 |
| dppa3                                                                                                  |                      53 |
| dkk1                                                                                                   |                      53 |
| pgc                                                                                                    |                      53 |
| rnpc3                                                                                                  |                      53 |
| lgalsl                                                                                                 |                      53 |
| mal                                                                                                    |                      53 |
| ubxn2a                                                                                                 |                      53 |
| dusp4                                                                                                  |                      53 |
| morc1                                                                                                  |                      53 |
| e4.5                                                                                                   |                      53 |
| rna helicase dbp5                                                                                      |                      52 |
| chondrosarcoma                                                                                         |                      52 |
| drospirenone                                                                                           |                      52 |
| tfpi-160                                                                                               |                      52 |
| heparinase                                                                                             |                      52 |
| polybrene                                                                                              |                      52 |
| kpi                                                                                                    |                      52 |
| streptococcus (                                                                                        |                      52 |
| s. pneumoniae                                                                                          |                      52 |
| s. pneumoniae pneumonia                                                                                |                      52 |
| hb                                                                                                     |                      52 |
| quinolinic                                                                                             |                      52 |
| kyna                                                                                                   |                      52 |
| kynurenic                                                                                              |                      52 |
| oa                                                                                                     |                      52 |
| norethisterone acetate                                                                                 |                      52 |
| l-selectin                                                                                             |                      52 |
| prothrombinase complexes                                                                               |                      52 |
| recombinant laci                                                                                       |                      52 |
| pancreatic trypsin                                                                                     |                      52 |
| pph                                                                                                    |                      52 |
| hookworm                                                                                               |                      52 |
| epo                                                                                                    |                      52 |
| choriocarcinoma                                                                                        |                      52 |
| human type-2 tissue factor pathway inhibitor                                                           |                      52 |
| its soluble receptor                                                                                   |                      52 |
| cyclooxygenase-1                                                                                       |                      52 |
| usp8                                                                                                   |                      52 |
| gata4                                                                                                  |                      52 |
| annexin-v                                                                                              |                      52 |
| nmd                                                                                                    |                      51 |
| musculoskeletal abnormalities                                                                          |                      51 |
| los4                                                                                                   |                      51 |
| tissue factor (tf)                                                                                     |                      51 |
| alpha-chymotrypsin                                                                                     |                      51 |
| tf-pca                                                                                                 |                      51 |
| tfpi-xa complex                                                                                        |                      51 |
| pcna                                                                                                   |                      51 |
| sp600125                                                                                               |                      51 |
| endocardial dysfunction                                                                                |                      51 |
| sod                                                                                                    |                      51 |
| c-peptide                                                                                              |                      51 |
| e. coli sepsis                                                                                         |                      51 |
| alkaline phosphatase                                                                                   |                      51 |
| tf.viia                                                                                                |                      51 |
| tf.viia complex                                                                                        |                      51 |
| plasma factor vii(a)                                                                                   |                      51 |
| intracellular adhesion molecule-1                                                                      |                      51 |
| hyperinflammation                                                                                      |                      51 |
| aaa                                                                                                    |                      51 |
| fviii coagulant                                                                                        |                      51 |
| vasculitis                                                                                             |                      51 |
| lactadherin                                                                                            |                      51 |
| inhibitor of apoptosis                                                                                 |                      51 |
| e3 ubiquitin ligase                                                                                    |                      51 |
| glaucoma                                                                                               |                      51 |
| ar2                                                                                                    |                      51 |
| cbp20                                                                                                  |                      51 |
| factor xiii                                                                                            |                      51 |
| phosphatidylinositol 3-kinase                                                                          |                      51 |
| hnrnpa1                                                                                                |                      51 |
| anaplastic astrocytomas                                                                                |                      51 |
| glyceraldehyde-3-phosphate                                                                             |                      51 |
| glyceraldehyde-3-phosphate dehydrogenase                                                               |                      51 |
| death receptors                                                                                        |                      51 |
| cancerous                                                                                              |                      51 |
| nrdp1                                                                                                  |                      51 |
| mmp10                                                                                                  |                      51 |
| run domain containing m1                                                                               |                      51 |
| map1lc3                                                                                                |                      51 |
| bnip3l                                                                                                 |                      51 |
| lc3 s                                                                                                  |                      51 |
| unc51-like autophagy activating kinase 1                                                               |                      51 |
| gabarapl1/2                                                                                            |                      51 |
| nix                                                                                                    |                      51 |
| lap                                                                                                    |                      51 |
| pi4kiialpha                                                                                            |                      51 |
| class iii phosphatidylinositol 3-kinase complex 1                                                      |                      51 |
| gabaraps                                                                                               |                      51 |
| lamin b1                                                                                               |                      51 |
| sequestosome 1                                                                                         |                      51 |
| adenosine monophosphate-associated protein kinase                                                      |                      51 |
| lmnb1                                                                                                  |                      51 |
| bcl2 interacting protein 3 like                                                                        |                      51 |
| gaba type a receptor-associated protein                                                                |                      51 |
| gaba type a receptor associated protein like 1/2                                                       |                      51 |
| pi4k2a                                                                                                 |                      51 |
| phosphatidylinositol 4-kinase type 2 alpha                                                             |                      51 |
| becn1                                                                                                  |                      51 |
| beclin 1                                                                                               |                      51 |
| plekhm1                                                                                                |                      51 |
| gabra/gabaa                                                                                            |                      51 |
| adenosine monophosphate                                                                                |                      51 |
| plecktrin homology                                                                                     |                      51 |
| ptdins3k-c1                                                                                            |                      51 |
| atg8-family proteins                                                                                   |                      51 |
| microtubule associated protein 1 light chain 3                                                         |                      51 |
| atg8-interacting motif                                                                                 |                      51 |
| of rapamycin kinase                                                                                    |                      51 |
| eif4a                                                                                                  |                      50 |
| phosphorus                                                                                             |                      50 |
| renin                                                                                                  |                      50 |
| atherosclerotic plaque disruption                                                                      |                      50 |
| tamoxifen                                                                                              |                      50 |
| factor vii-deficient                                                                                   |                      50 |
| factor (f)x                                                                                            |                      50 |
| mouse tissue factor pathway inhibitor                                                                  |                      50 |
| ftfpi                                                                                                  |                      50 |
| mannose                                                                                                |                      50 |
| human recombinant tfpi                                                                                 |                      50 |
| airway obstruction                                                                                     |                      50 |
| rfviiai                                                                                                |                      50 |
| angina pectoris                                                                                        |                      50 |
| atherosclerotic vascular disease                                                                       |                      50 |
| aa                                                                                                     |                      50 |
| oestradiol                                                                                             |                      50 |
| dha                                                                                                    |                      50 |
| docosahexaenoic acid                                                                                   |                      50 |
| antithrombin iii complex                                                                               |                      50 |
| kunitz-type family                                                                                     |                      50 |
| hmg-coa                                                                                                |                      50 |
| paclitaxel                                                                                             |                      50 |
| catecholamine                                                                                          |                      50 |
| vegfr                                                                                                  |                      50 |
| thrombin generation abnormalities                                                                      |                      50 |
| severe sepsis                                                                                          |                      50 |
| serum crp                                                                                              |                      50 |
| arterial remodeling                                                                                    |                      50 |
| developmental delay                                                                                    |                      49 |
| mir-27a                                                                                                |                      49 |
| fl                                                                                                     |                      49 |
| thr87                                                                                                  |                      49 |
| hspgs                                                                                                  |                      49 |
| hemostatic defects                                                                                     |                      49 |
| gly                                                                                                    |                      49 |
| edta                                                                                                   |                      49 |
| iddm                                                                                                   |                      49 |
| hellp syndrome                                                                                         |                      49 |
| blood coagulation factor xa                                                                            |                      49 |
| vascular endothelial dysfunction                                                                       |                      49 |
| tm ag                                                                                                  |                      49 |
| cd14                                                                                                   |                      49 |
| metabolic disorders                                                                                    |                      49 |
| trg                                                                                                    |                      49 |
| sodium nitroprusside                                                                                   |                      49 |
| low density lipoprotein cholesterol                                                                    |                      49 |
| hemostatic disorder                                                                                    |                      49 |
| human prothrombin                                                                                      |                      49 |
| tissue type plasminogen activator                                                                      |                      49 |
| stenosis                                                                                               |                      49 |
| chloromethyl ketone                                                                                    |                      49 |
| sapk                                                                                                   |                      49 |
| lung inflammation                                                                                      |                      49 |
| erythropoietin receptor                                                                                |                      49 |
| arthropathy                                                                                            |                      49 |
| prekallikrein                                                                                          |                      49 |
| lung squamous cell carcinoma                                                                           |                      49 |
| protein c receptor                                                                                     |                      49 |
| vegfr-3                                                                                                |                      49 |
| l-nmma                                                                                                 |                      49 |
| pitavastatin                                                                                           |                      49 |
| bovine pancreatic trypsin inhibitor                                                                    |                      49 |
| hg                                                                                                     |                      49 |
| ferritin                                                                                               |                      49 |
| ctif                                                                                                   |                      48 |
| dead-box atpase                                                                                        |                      48 |
| sr protein                                                                                             |                      48 |
| comp gene promoter                                                                                     |                      48 |
| hdac1                                                                                                  |                      48 |
| comp                                                                                                   |                      48 |
| lrf                                                                                                    |                      48 |
| comp gene                                                                                              |                      48 |
| sox9                                                                                                   |                      48 |
| notch                                                                                                  |                      48 |
| hiv-1                                                                                                  |                      48 |
| pka                                                                                                    |                      48 |
| pars                                                                                                   |                      48 |
| protease-activated receptors                                                                           |                      48 |
| kunitz-type plasma proteinase                                                                          |                      48 |
| breast cancers                                                                                         |                      48 |
| nephropathy                                                                                            |                      48 |
| k2k3                                                                                                   |                      48 |
| plasma factor vii                                                                                      |                      48 |
| s2'                                                                                                    |                      48 |
| cll                                                                                                    |                      48 |
| c1-inhibitor                                                                                           |                      48 |
| cynoglossus semilaevis                                                                                 |                      48 |
| oc                                                                                                     |                      48 |
| fecl3                                                                                                  |                      48 |
| cd3                                                                                                    |                      48 |
| cardiovascular mortality                                                                               |                      48 |
| cardiovascular health                                                                                  |                      48 |
| substrate factor x                                                                                     |                      48 |
| inherited thrombophilia                                                                                |                      48 |
| human cd47                                                                                             |                      48 |
| hcd47                                                                                                  |                      48 |
| cd47                                                                                                   |                      48 |
| retinoblastoma                                                                                         |                      48 |
| perindopril                                                                                            |                      48 |
| thrombin receptor                                                                                      |                      48 |
| fviiic                                                                                                 |                      48 |
| metabolic syndrome                                                                                     |                      48 |
| pv                                                                                                     |                      48 |
| tissue factor procoagulant                                                                             |                      48 |
| prothrombin g20210a                                                                                    |                      48 |
| laci cdna                                                                                              |                      48 |
| all                                                                                                    |                      48 |
| diazepam                                                                                               |                      48 |
| intracranial hemorrhage                                                                                |                      48 |
| rna binding proteins                                                                                   |                      48 |
| fx deficiency                                                                                          |                      48 |
| sclc                                                                                                   |                      48 |
| tfpi-2 promoter region                                                                                 |                      48 |
| mmp2                                                                                                   |                      48 |
| non-insulin-dependent diabetes mellitus                                                                |                      48 |
| vwf:ag                                                                                                 |                      48 |
| covid                                                                                                  |                      48 |
| srp20                                                                                                  |                      48 |
| casp9                                                                                                  |                      48 |
| ast                                                                                                    |                      48 |
| pb                                                                                                     |                      48 |
| high-density lipoprotein-cholesterol                                                                   |                      48 |
| leukocytosis                                                                                           |                      48 |
| fibrinolytic and                                                                                       |                      48 |
| plasmin factors                                                                                        |                      48 |
| atrial natriuretic peptide                                                                             |                      48 |
| aspartate aminotransferase                                                                             |                      48 |
| cardiac injury                                                                                         |                      48 |
| endothelin 1                                                                                           |                      48 |
| lead acetate                                                                                           |                      48 |
| il5ra                                                                                                  |                      48 |
| angpt2                                                                                                 |                      48 |
| insp(6)                                                                                                |                      47 |
| astrocytomas                                                                                           |                      47 |
| tfpi(k1)(-/-)                                                                                          |                      47 |
| 3-hydroxy-3-methylglutaryl coenzyme a                                                                  |                      47 |
| progestins                                                                                             |                      47 |
| neta                                                                                                   |                      47 |
| acute thrombosis                                                                                       |                      47 |
| 17alpha-ethinylestradiol                                                                               |                      47 |
| -399c/t                                                                                                |                      47 |
| vascular damage                                                                                        |                      47 |
| b16 melanoma                                                                                           |                      47 |
| fvii:ag                                                                                                |                      47 |
| cholesteryl ester                                                                                      |                      47 |
| bovine factor xa                                                                                       |                      47 |
| human tfpialpha                                                                                        |                      47 |
| c-jun                                                                                                  |                      47 |
| c4                                                                                                     |                      47 |
| bovine pancreatic trypsin                                                                              |                      47 |
| polyp                                                                                                  |                      47 |
| ec dysfunction                                                                                         |                      47 |
| recombinant factor vii                                                                                 |                      47 |
| interferon-gamma                                                                                       |                      47 |
| thromboxane                                                                                            |                      47 |
| viiia                                                                                                  |                      47 |
| cd34+                                                                                                  |                      47 |
| factors viii and ix                                                                                    |                      47 |
| systemic disease                                                                                       |                      47 |
| cd40l                                                                                                  |                      47 |
| citrate                                                                                                |                      47 |
| erbb                                                                                                   |                      47 |
| ais                                                                                                    |                      47 |
| fetal growth restriction                                                                               |                      47 |
| ms                                                                                                     |                      47 |
| multiple sclerosis                                                                                     |                      47 |
| f7                                                                                                     |                      47 |
| pdgf                                                                                                   |                      47 |
| low-density lipoprotein receptor-related protein                                                       |                      47 |
| serine protease inhibitor                                                                              |                      46 |
| il-1 beta                                                                                              |                      46 |
| tfpi total antigen                                                                                     |                      46 |
| trp                                                                                                    |                      46 |
| sfm                                                                                                    |                      46 |
| nacl                                                                                                   |                      46 |
| fxiia                                                                                                  |                      46 |
| hyperthyroidism                                                                                        |                      46 |
| chronic myelogenous leukaemia                                                                          |                      46 |
| ovariectomy                                                                                            |                      46 |
| full-length recombinant tfpi                                                                           |                      46 |
| factors ixa and xa                                                                                     |                      46 |
| wild-type                                                                                              |                      46 |
| renal injury                                                                                           |                      46 |
| microrna-494                                                                                           |                      46 |
| mir-494                                                                                                |                      46 |
| activated protein c resistance                                                                         |                      46 |
| acute rejection                                                                                        |                      46 |
| chronic inflammation                                                                                   |                      46 |
| fv leiden                                                                                              |                      46 |
| tissue factor protein                                                                                  |                      46 |
| syntaxin 17                                                                                            |                      46 |
| recombinant epi                                                                                        |                      46 |
| q192e                                                                                                  |                      46 |
| alzheimer's                                                                                            |                      46 |
| mmp-3                                                                                                  |                      46 |
| high molecular weight kininogen                                                                        |                      46 |
| edc34                                                                                                  |                      46 |
| gc                                                                                                     |                      46 |
| polyethyleneimine                                                                                      |                      46 |
| fr                                                                                                     |                      46 |
| folate receptor                                                                                        |                      46 |
| cddp                                                                                                   |                      46 |
| covid-19 infection                                                                                     |                      46 |
| dengue virus                                                                                           |                      46 |
| cxcl8                                                                                                  |                      46 |
| bcl2l1                                                                                                 |                      46 |
| lysozyme                                                                                               |                      46 |
| bcl10                                                                                                  |                      46 |
| asd                                                                                                    |                      46 |
| f viia                                                                                                 |                      46 |
| mgmt                                                                                                   |                      46 |
| srrm2                                                                                                  |                      45 |
| son protein                                                                                            |                      45 |
| xenopus laevis                                                                                         |                      45 |
| estrone                                                                                                |                      45 |
| mab 2021                                                                                               |                      45 |
| rs7586970                                                                                              |                      45 |
| full-length tissue factor pathway inhibitor                                                            |                      45 |
| viia-tf                                                                                                |                      45 |
| tfpi mrnas                                                                                             |                      45 |
| heparin-induced thrombocytopenia                                                                       |                      45 |
| leukocyte elastase                                                                                     |                      45 |
| carotid atherosclerotic plaques                                                                        |                      45 |
| kunitz domain 3                                                                                        |                      45 |
| carotid plaque                                                                                         |                      45 |
