Disease rank from son to all disease using shortest_path
| Entity                                                                                    |        Rank |
| localized venous thrombosis                                                               | 0.187618    |
| infectious diseases syndromes                                                             | 0.187589    |
| infectious syndrome                                                                       | 0.187589    |
| infectious syndromes                                                                      | 0.187589    |
| expression-defect channelopathies                                                         | 0.1875      |
| dominant-negative splicing disorders                                                      | 0.1875      |
| neural, cardiovascular, and immune diseases                                               | 0.1875      |
| autoimmune and inflammatory diseases                                                      | 0.1875      |
| chronic epilepsies                                                                        | 0.1875      |
| eralpha-negative tumors                                                                   | 0.1875      |
| sars-cov-2-                                                                               | 0.1875      |
| sars-cov-2-infected                                                                       | 0.1875      |
| concussion injuries                                                                       | 0.1875      |
| hip surgery                                                                               | 0.1875      |
| bodily injuries                                                                           | 0.1875      |
| vestibular symptoms                                                                       | 0.1875      |
| somatosensory and/or vestibular symptoms                                                  | 0.1875      |
| activity limitations                                                                      | 0.187096    |
| range of motion deficits of the lower extremity                                           | 0.187096    |
| joint deformities                                                                         | 0.187096    |
| hepatitis b vius                                                                          | 0.186957    |
| hepatitis b virus (hbv) hepatitis                                                         | 0.186957    |
| testicular nhl                                                                            | 0.186957    |
| hbv-related liver events                                                                  | 0.186957    |
| hepatic tissue                                                                            | 0.186957    |
| chronic hepatitis b virus (hbv) disease                                                   | 0.186957    |
| pnalt                                                                                     | 0.186957    |
| peroneal muscular atrophy                                                                 | 0.186957    |
| limb and bulbar amyotrophy                                                                | 0.186957    |
| atrophy and fasciculation of the hands and/or the legs                                    | 0.186957    |
| chronic juvenile amyotrophic lateral sclerosis                                            | 0.186957    |
| pseudobulbar syndrome                                                                     | 0.186957    |
| hereditary motor system diseases                                                          | 0.186957    |
| neurogenic atrophy                                                                        | 0.186957    |
| hypermobile ehlers-danlos syndrome                                                        | 0.186955    |
| joint hypermobility syndrome                                                              | 0.186955    |
| classical ehlers-danlos syndrome                                                          | 0.186955    |
| joint hypermobility disorders                                                             | 0.186955    |
| finger orthoses                                                                           | 0.186955    |
| hypermobility of the fingers                                                              | 0.186955    |
| acsr                                                                                      | 0.186732    |
| aids and cancer                                                                           | 0.186732    |
| problems with the active function of the extremity                                        | 0.186698    |
| umn                                                                                       | 0.186698    |
| upper motor neuron syndromes                                                              | 0.186698    |
| hip and knee flexion contractures                                                         | 0.186698    |
| hip adduction contractures                                                                | 0.186698    |
| dysfunctional extremity                                                                   | 0.186698    |
| equinovarus foot deformities                                                              | 0.186698    |
| planovalgus deformity                                                                     | 0.186414    |
| grice extra-articular subtalar arthrodesis                                                | 0.186414    |
| components of pes planovalgus deformity                                                   | 0.186414    |
| spastic pes planovalgus deformity                                                         | 0.186414    |
| extra-articular subtalar arthrodesis                                                      | 0.186414    |
| pes planovalgus deformity                                                                 | 0.186414    |
| seckel syndrome                                                                           | 0.186335    |
| oligoanuria                                                                               | 0.186335    |
| silver sulfadiazine medullar toxicity                                                     | 0.186335    |
| sulphonamide renal toxicity                                                               | 0.186335    |
| pyoderma gangrenosum wounds                                                               | 0.186335    |
| immunodeficiency diseases                                                                 | 0.186335    |
| arteritis                                                                                 | 0.186335    |
| neutrophilia                                                                              | 0.186335    |
| allergic and infectious diseases                                                          | 0.186335    |
| pulmonary mycotoxicosis                                                                   | 0.186335    |
| hypoxemic                                                                                 | 0.186335    |
| organic dust toxic syndrome                                                               | 0.186335    |
| silo unloader's syndrome                                                                  | 0.186335    |
| chest radiographic abnormalities                                                          | 0.186335    |
| motor neuron disorder                                                                     | 0.186147    |
| weakness in the lower limbs                                                               | 0.186147    |
| hsp disorders                                                                             | 0.186147    |
| spastic paraplegia-4                                                                      | 0.186147    |
| dominant ataxias                                                                          | 0.186147    |
| progressive cerebellar ataxia                                                             | 0.186147    |
| periodic ataxia                                                                           | 0.186147    |
| neurological, genetic disorder                                                            | 0.186147    |
| ankle clonus                                                                              | 0.186147    |
| defect of respiratory chain function                                                      | 0.186147    |
| abductor digiti minimi                                                                    | 0.186147    |
| hysterical paraplegia                                                                     | 0.186147    |
| disorders of the central motor pathways                                                   | 0.186147    |
| hysterical weakness                                                                       | 0.186147    |
| non-ms spinal lesions                                                                     | 0.186147    |
| spinal cord lesions                                                                       | 0.186147    |
| sensorimotor polyneuropathy                                                               | 0.186147    |
| autosomal recessive axonal cmt                                                            | 0.186147    |
| axonal sensorimotor polyneuropathy                                                        | 0.186147    |
| sudomotor dysfunction                                                                     | 0.186147    |
| autonomic complaints                                                                      | 0.186147    |
| dyskinesis                                                                                | 0.186147    |
| developmental language disorders                                                          | 0.186147    |
| congenital factor v deficiency                                                            | 0.186147    |
| vascular diseases                                                                         | 0.186147    |
| deaf mutism                                                                               | 0.186082    |
| spastic state of the hands and feet                                                       | 0.186082    |
| iodine deficiency disorders                                                               | 0.186082    |
| cortico-subcortical dementia                                                              | 0.185965    |
| behavioral/personality disturbance                                                        | 0.185965    |
| frontal, orbitofrontal or frontotemporal syndromes                                        | 0.185965    |
| inborn disorder of bile acid biosynthesis and sterol storage                              | 0.185965    |
| behavioral/personality disorder                                                           | 0.185965    |
| neuropsychiatric syndromes                                                                | 0.185965    |
| affective/mood disorders                                                                  | 0.185965    |
| recessive or sporadic juvenile ataxias                                                    | 0.185752    |
| autosomal dominant cerebellar ataxias                                                     | 0.185752    |
| facial osseous alterations                                                                | 0.185606    |
| schwartz-jampel syndrome                                                                  | 0.185606    |
| mandibular migrognathia                                                                   | 0.185606    |
| hypoplastic condyles                                                                      | 0.185606    |
| guillain-barre                                                                            | 0.185535    |
| cyclic edema                                                                              | 0.185494    |
| episodic angioedema                                                                       | 0.185494    |
| severe acute respiratory syndrome coronavirus 2 (sars-cov-2) infections                   | 0.18537     |
| viral respiratory disease                                                                 | 0.18537     |
| haploinsufficiency of sox5                                                                | 0.185185    |
| x-linked dominant disorder                                                                | 0.185185    |
| interstitial cystitis                                                                     | 0.185052    |
| gypsy                                                                                     | 0.185       |
| chronic hdv (hepatitis delta virus) hepatitis                                             | 0.184963    |
| chronic inflammatory periodontal disease                                                  | 0.184884    |
| bloodstream infections                                                                    | 0.184825    |
| pressure ulcer stage iii/iv                                                               | 0.184821    |
| vascular catheter-associated infection                                                    | 0.184821    |
| hac                                                                                       | 0.184821    |
| undergrowth                                                                               | 0.1847      |
| retromicrognathia                                                                         | 0.1847      |
| lower motor neuron involvement                                                            | 0.184524    |
| ma                                                                                        | 0.184524    |
| tbsa                                                                                      | 0.184524    |
| hlh                                                                                       | 0.184524    |
| hemophagocytic lymphohistiocytosis                                                        | 0.184524    |
| skin necrosis                                                                             | 0.184524    |
| leptomeningeal anaplastic oligodendroglioma                                               | 0.184382    |
| primary leptomeningeal oligodendroglioma                                                  | 0.184382    |
| who grade 3                                                                               | 0.184382    |
| car t cell-induced crs                                                                    | 0.184351    |
| cytokine release                                                                          | 0.184351    |
| behavior dysfunction                                                                      | 0.184314    |
| cerebral hamartoma                                                                        | 0.184314    |
| oligodendroglial hamartoma                                                                | 0.184314    |
| intracerebral hamartomas                                                                  | 0.184314    |
| candida meningitis                                                                        | 0.184314    |
| bacterial and fungal infections                                                           | 0.184314    |
| csf leukocytosis                                                                          | 0.184314    |
| frontoparietal tumor                                                                      | 0.184314    |
| gray matter injury                                                                        | 0.184086    |
| white matter signal abnormalities in the brain                                            | 0.184086    |
| paraplegia type 5                                                                         | 0.184086    |
| primary sjogrens                                                                          | 0.183835    |
| sjogrens' syndrome                                                                        | 0.183835    |
| pots                                                                                      | 0.183824    |
| familial pseudohyperkalemia                                                               | 0.183824    |
| dehydrated hereditary stomatocytosis                                                      | 0.183824    |
| pseudohyperkalemia                                                                        | 0.183824    |
| hereditary cryohydrocytosis, type 1                                                       | 0.183824    |
| chc 2                                                                                     | 0.183824    |
| hereditary stomatocytoses                                                                 | 0.183824    |
| chc 1                                                                                     | 0.183824    |
| macrocytosis                                                                              | 0.183824    |
| overhydrated hereditary stomatocytosis                                                    | 0.183824    |
| perinatal edema                                                                           | 0.183824    |
| hereditary cryohydrocytosis, type 2                                                       | 0.183824    |
| dhs                                                                                       | 0.183824    |
| hematological disease                                                                     | 0.183824    |
| grade iv malignancy                                                                       | 0.183824    |
| vod                                                                                       | 0.183824    |
| hepatic veno-occlusive disease                                                            | 0.183824    |
| epileptogenic neoplasm                                                                    | 0.183824    |
| porencephalic defects                                                                     | 0.183824    |
| chronic pharmacoresistant epileptic disorders                                             | 0.183824    |
| diffuse malignant idh-mutant gliomas                                                      | 0.183824    |
| grade ii idh-mutant gliomas                                                               | 0.183824    |
| hemochromatosis                                                                           | 0.183824    |
| chronic alcoholic liver disease                                                           | 0.183824    |
| cirrhotic liver and hepatocellular carcinoma                                              | 0.183824    |
| crypogenic cirrhosis                                                                      | 0.183824    |
| liver-related hbv disease                                                                 | 0.183824    |
| nonhepatocellular carcinoma malignant neoplasms                                           | 0.183824    |
| hepatitis b-related hcc                                                                   | 0.183824    |
| decompensated liver diseases                                                              | 0.183824    |
| cancer of the head and neck                                                               | 0.183824    |
| rupture of the carotid artery                                                             | 0.183824    |
| tumor in the neck                                                                         | 0.183824    |
| pharyngocutaneous fistula                                                                 | 0.183824    |
| carotid blowout syndrome                                                                  | 0.183824    |
| wound breakdown                                                                           | 0.183824    |
| thrombotic-hemorrhagic complications                                                      | 0.183824    |
| aorto-iliac occlusion                                                                     | 0.183824    |
| heparin induced thrombocytopenia                                                          | 0.183824    |
| cerebral events                                                                           | 0.183824    |
| progressive dementing                                                                     | 0.183733    |
| vasculopathies                                                                            | 0.183733    |
| leucoencephalopathies and inflammatory lesions                                            | 0.183733    |
| benign oligodendroglioma                                                                  | 0.183661    |
| progressive pallidumatrophy                                                               | 0.183333    |
| dentato-rubro-pallido-luisian atrophy                                                     | 0.183333    |
| fibrous gliosis of superior peduncles                                                     | 0.183333    |
| multisystem degenerations of central nervous system spreading                             | 0.183333    |
| hereditary spastic ataxia                                                                 | 0.183333    |
| menzel type of heredoataxia                                                               | 0.183333    |
| dystonic extrapyramidal movement                                                          | 0.183333    |
| grumose degeneration of dentate nucleus                                                   | 0.183333    |
| joseph                                                                                    | 0.183333    |
| epileptic episodes                                                                        | 0.183333    |
| neuronal loss of substantia nigra and red nucleus                                         | 0.183333    |
| invasive breast carcinomas                                                                | 0.183333    |
| phyllodes tumors                                                                          | 0.183333    |
| fibroadenomas                                                                             | 0.183333    |
| gm-ps                                                                                     | 0.183333    |
| latent human cytomegalovirus infection                                                    | 0.183333    |
| lamivudine-resistant hbeag-negative chronic hepatitis b                                   | 0.183333    |
| raeder paratrigeminal neuralgia                                                           | 0.183309    |
| vascular headaches                                                                        | 0.183309    |
| oculosympathetic paresis                                                                  | 0.183309    |
| pediatric migrainous                                                                      | 0.183309    |
| neuralgia                                                                                 | 0.183309    |
| migrainous phenomenon                                                                     | 0.183309    |
| acute respiratory syndrome coronavirus 2 infection of the respiratory tract               | 0.183161    |
| hepatitis type b virus                                                                    | 0.183047    |
| epigenetic imprinting disorders                                                           | 0.182857    |
| unfertility                                                                               | 0.182857    |
| beckwith-wiedemann (bws) and the                                                          | 0.182857    |
| hps-3                                                                                     | 0.182857    |
| hermansky-pudlak syndrome-type 3                                                          | 0.182857    |
| cutaneous and ocular depigmentation                                                       | 0.182857    |
| skin loss                                                                                 | 0.182857    |
| hepatitis b-induced decompensated cirrhosis                                               | 0.182567    |
| hepatitis b virus (hbv)-induced cirrhosis                                                 | 0.182567    |
| neurodevelopmental and neurodegenerative human diseases                                   | 0.18254     |
| autosomal recessive parkinsonism                                                          | 0.18254     |
| b-chronic lymphocytic leukaemia                                                           | 0.18254     |
| clonal                                                                                    | 0.18254     |
| leukaemic                                                                                 | 0.18254     |
| osteogenesis imperfecta (oi) type i                                                       | 0.18254     |
| stis                                                                                      | 0.182432    |
| mycobacterium tuberculosis infection                                                      | 0.182398    |
| mycobacterium tuberculosis (mtb) infection                                                | 0.182398    |
| pneumocystis carinii pneumonitis                                                          | 0.182023    |
| extraskeletal myxoid chondrosarcoma                                                       | 0.182023    |
| lada                                                                                      | 0.181818    |
| protein-s deficient                                                                       | 0.181818    |
| acute pancreatitis                                                                        | 0.181818    |
| inflammatory lung diseases                                                                | 0.181818    |
| endothelial cell dysfunction of the microvasculature                                      | 0.181818    |
| septic conditions                                                                         | 0.181818    |
| arteriosclerotic plaques                                                                  | 0.181818    |
| albuminuric                                                                               | 0.181818    |
| cvvh                                                                                      | 0.181818    |
| hemostatic impairment                                                                     | 0.181818    |
| crohn disease                                                                             | 0.181818    |
| hyperuricemic                                                                             | 0.181818    |
| gouty arthritis                                                                           | 0.181818    |
| ga                                                                                        | 0.181818    |
| ahu                                                                                       | 0.181818    |
| congenital fv deficiency                                                                  | 0.181818    |
| proliferative diabetic retinopathy                                                        | 0.181818    |
| pdr                                                                                       | 0.181818    |
| ischaemia/reperfusion (i/r) injury                                                        | 0.181818    |
| i/r injury                                                                                | 0.181818    |
| critical organ ischaemia/reperfusion injury                                               | 0.181818    |
| maternal thrombophilia                                                                    | 0.181818    |
| neurological rehabilitation                                                               | 0.181818    |
| diabetes-related complications                                                            | 0.181818    |
| type i diabetic                                                                           | 0.181818    |
| periinterventional minor stroke                                                           | 0.181818    |
| ndmm                                                                                      | 0.181818    |
| vein graft                                                                                | 0.181818    |
| drug-related thrombosis                                                                   | 0.181818    |
| hormone-related vte                                                                       | 0.181818    |
| hormone-related thrombosis                                                                | 0.181818    |
| nonvalvular af                                                                            | 0.181818    |
| atrial thrombus                                                                           | 0.181818    |
| enlarged lad                                                                              | 0.181818    |
| eop                                                                                       | 0.181818    |
| proinflammatory disorder                                                                  | 0.181818    |
| inflammatory and vascular reactions                                                       | 0.181818    |
| organ failures                                                                            | 0.181818    |
| skin venous hypertension                                                                  | 0.181818    |
| organ damage                                                                              | 0.181818    |
| ischemic cardiovascular complications                                                     | 0.181818    |
| extrinsic coagulation cascade mediated coagulopathies                                     | 0.181818    |
| deficiencies of natural anticoagulants                                                    | 0.181818    |
| bleeds                                                                                    | 0.181818    |
| muscle wasting disorder                                                                   | 0.181608    |
| heart and respiratory failure                                                             | 0.181608    |
| urinary tract infection                                                                   | 0.181319    |
| autosomal dominant spastic paraplegias                                                    | 0.181319    |
| amyotrophy of hands                                                                       | 0.181319    |
| foot dorsiflexion                                                                         | 0.181319    |
| weakness of the legs                                                                      | 0.181319    |
| degeneration of the corticospinal tracts and dorsal columns                               | 0.181319    |
| muscle tendon contractures                                                                | 0.181319    |
| bilateral and mostly symmetric spasticity                                                 | 0.181319    |
| ankle-foot orthoses                                                                       | 0.181319    |
| urinary bladder hyperactivity                                                             | 0.181319    |
| distal weakness                                                                           | 0.181319    |
| axonal motor neuropathy                                                                   | 0.181319    |
| rheumatic disorders                                                                       | 0.181319    |
| gangrene of the extremities                                                               | 0.181319    |
| tubular injury                                                                            | 0.181319    |
| natural killer (nk) cell deficiency                                                       | 0.181319    |
| lccn                                                                                      | 0.181319    |
| monoclonal gammopathies                                                                   | 0.181319    |
| hypogammaglobulinemia and natural killer cell deficiency                                  | 0.181319    |
| right-sided pneumonia                                                                     | 0.181319    |
| tubular rupture                                                                           | 0.181319    |
| tubulitis                                                                                 | 0.181319    |
| stage iii follicular lymphoma                                                             | 0.181319    |
| staphylococcal scalded skin syndrome                                                      | 0.18125     |
| x-linked microphthalmia disorders                                                         | 0.180952    |
| congenital cataract                                                                       | 0.180952    |
| isolated ocular defects                                                                   | 0.180952    |
| skeletal defects                                                                          | 0.180952    |
| cardiac laterality defects                                                                | 0.180952    |
| ofcd                                                                                      | 0.180952    |
| , dental, cardiac and skeletal anomalies                                                  | 0.180952    |
| cardiac/laterality defects                                                                | 0.180952    |
| ofcd syndrome                                                                             | 0.180952    |
| radiculomegaly                                                                            | 0.180952    |
| radioulnar synostosis                                                                     | 0.180952    |
| x-linked microphthalmia                                                                   | 0.180952    |
| lenz microphthalmia syndromes                                                             | 0.180952    |
| x-linked ('lenz') microphthalmia syndrome                                                 | 0.180952    |
| spastic diplegia                                                                          | 0.180952    |
| wolf-hirschhorn (wh) syndrome                                                             | 0.180952    |
| 4p trisomy                                                                                | 0.180952    |
| wh                                                                                        | 0.180952    |
| segmental aneuploidy                                                                      | 0.180952    |
| haploinsufficiency of 4p16.3                                                              | 0.180952    |
| protruding eyes                                                                           | 0.180952    |
| trisomy 4 syndrome                                                                        | 0.180952    |
| high nasal bridge                                                                         | 0.180952    |
| maxillary hypoplasia, large and                                                           | 0.180952    |
| ichbp                                                                                     | 0.180729    |
| breast ductal carcinomas                                                                  | 0.180556    |
| mammary pd                                                                                | 0.180556    |
| intraepidermal adenocarcinoma of the skin                                                 | 0.180556    |
| mammary and extramammary paget's diseases                                                 | 0.180556    |
| empd                                                                                      | 0.180556    |
| invasive carcinomas                                                                       | 0.180556    |
| extramammary pd                                                                           | 0.180556    |
| iron-deficiency anemia                                                                    | 0.180556    |
| mcf-7                                                                                     | 0.180556    |
| oligodendroglioma-like glial neoplasms                                                    | 0.180556    |
| pediatric glial neoplasms                                                                 | 0.180556    |
| sleep medicine                                                                            | 0.180147    |
| bcsmp                                                                                     | 0.180147    |
| alzheimer and related dementias                                                           | 0.180147    |
| circadian rhythm sleep-wake disorders                                                     | 0.180147    |
| volvular epilepsy                                                                         | 0.180147    |
| circling epilepsy                                                                         | 0.180147    |
| impairment of consciousness                                                               | 0.180147    |
| posttraumatic lesions                                                                     | 0.180147    |
| retatory seizures                                                                         | 0.180147    |
| focal epileptic activity                                                                  | 0.180147    |
| neoplasma                                                                                 | 0.180147    |
| impairment of the conscious state                                                         | 0.180147    |
| giant aneurysm                                                                            | 0.180147    |
| rotatory seizures                                                                         | 0.180147    |
| orbital erosion                                                                           | 0.180147    |
| leptomeningeal and meningovascular proliferation                                          | 0.180147    |
| cystic atrophy                                                                            | 0.180147    |
| encephalocoel                                                                             | 0.180147    |
| ma lesions                                                                                | 0.180147    |
| localization-related epilepsy                                                             | 0.180147    |
| sporadic ma                                                                               | 0.180147    |
| focal lesion of the leptomeninges and underlying cerebral cortex                          | 0.180147    |
| intracranial vascular and neoplastic lesions                                              | 0.180147    |
| stabbing headache                                                                         | 0.180147    |
| intra-axial tumor                                                                         | 0.180147    |
| pdh complex deficiency                                                                    | 0.180136    |
| pyruvate dehydrogenase e1 alpha deficiency                                                | 0.180136    |
| heparin-induced thrombocytopenia (hit) syndrome                                           | 0.179914    |
| nb tumors                                                                                 | 0.179221    |
| cervical intradural and intramedullary lipoma                                             | 0.179183    |
| slowing of fine hand movements                                                            | 0.179183    |
| pes equinovarus                                                                           | 0.179183    |
| tetraspasticity                                                                           | 0.179183    |
| intradural lipoma from the foramen magnum to c4                                           | 0.179183    |
| spina bifida occulta of c1                                                                | 0.179183    |
| fibrosis s3 and s4                                                                        | 0.179054    |
| acute obi                                                                                 | 0.179006    |
| reactivated hbv infections                                                                | 0.179006    |
| cystathionine beta synthase deficiency                                                    | 0.178788    |
| muscle spasms                                                                             | 0.178788    |
| homocysteinuria                                                                           | 0.178788    |
| autosomal recessive disorder of methionine metabolism                                     | 0.178788    |
| cutis marmorata congenita universalis                                                     | 0.178788    |
| cystathionine beta-synthase (cbs) deficiency                                              | 0.178788    |
| finger spasms                                                                             | 0.178788    |
| malar flush                                                                               | 0.178788    |
| brittle hair                                                                              | 0.178788    |
| hydronephrosis                                                                            | 0.178788    |
| thyroid disorders                                                                         | 0.178788    |
| alcoholic hcc                                                                             | 0.178591    |
| hepatitis b virus (hbv) and hepatitis c virus (hcv) infections                            | 0.178591    |
| alcohol-associated hepatocellular carcinoma                                               | 0.178591    |
| systemic                                                                                  | 0.178571    |
| myositis                                                                                  | 0.178571    |
| x-linked mental handicap                                                                  | 0.178571    |
| x-linked nonspecific mental handicap                                                      | 0.178571    |
| spast-negative                                                                            | 0.178571    |
| autosomal dominant spastic paraplegia, type 4                                             | 0.178571    |
| debilitating disorder                                                                     | 0.178571    |
| shortening of the iliopsoas muscle                                                        | 0.178571    |
| spastic conditions                                                                        | 0.178571    |
| hip flexion deformities                                                                   | 0.178571    |
| functional shortening of different muscles                                                | 0.178571    |
| iliopsoas shortening                                                                      | 0.178571    |
| perthes disease                                                                           | 0.178571    |
| hepatitis b virus (dhbv) infection                                                        | 0.178215    |
| sars coronavirus 2                                                                        | 0.17805     |
| cri du chat (5p-) syndrome                                                                | 0.177903    |
| hyper-reflexia                                                                            | 0.177866    |
| organ dysfunctions                                                                        | 0.177866    |
| severe preeclampsia                                                                       | 0.177866    |
